orgname,depart_time,duration,arrival,amount,rating,seat,bustype,route_link
Sai RK Travels,23:30,06h 22m,05:52,540.0,2.0,23,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri Sai Anjana Tours and Travels,23:55,06h 30m,06:25,610.0,2.0,30,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
LVR Travels,23:55,05h 40m,05:35,890.0,2.0,16,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vahini Travels,23:50,06h 37m,06:27,610.0,2.0,30,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
SVR Tours and Travels,02:00,05h 15m,07:15,800.0,2.0,24,Volvo Multi Axle Sleeper B11R (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Shyamoli Paribahan Pvt Ltd,04:30,06h 10m,10:40,1188.0,4.0,29,A/C Seater/Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Morning Star Travels,02:20,04h 55m,07:15,950.0,2.0,40,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Jagan Travels,04:30,05h 45m,10:15,450.0,1.0,24,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Zingbus Plus,01:15,06h 45m,08:00,514.0,4.0,13,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
BSR Tours And Travels,02:15,05h 10m,07:25,1280.0,4.0,17,Volvo 9600 Multi-Axle A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
BSR Tours And Travels,00:50,06h 25m,07:15,880.0,4.0,33,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Neelachal Travels,01:00,05h 55m,06:55,600.0,4.0,27,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
BSR Tours And Travels,01:00,06h 00m,07:00,880.0,4.0,27,VE A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
GMC Travels,01:00,05h 30m,06:30,590.0,4.0,32,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
YNR Travels,23:25,06h 35m,06:00,599.0,4.0,24,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Vikram Travels,01:00,05h 35m,06:35,729.0,4.0,29,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sree Gowtham Travels,23:02,05h 19m,04:21,950.0,4.0,30,A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Meghana Travels,00:15,05h 23m,05:38,690.0,4.0,25,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Padma Travels,23:30,07h 05m,06:35,560.0,4.0,33,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
LVP Travels,00:45,05h 45m,06:30,550.0,3.0,24,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sai Srinivasa Travels,22:15,07h 30m,05:45,560.0,3.0,28,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri KVR Travels,00:12,06h 38m,06:50,765.0,3.0,18,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri KVR Travels,01:15,05h 50m,07:05,953.0,3.0,13,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
SREE KARA TRAVELS,23:59,06h 21m,06:20,599.0,3.0,30,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri KVR Travels,23:59,06h 28m,06:27,500.0,3.0,40,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
SRI SAI BALAJI TOURS AND TRAVELS,01:35,06h 25m,08:00,1199.0,3.0,20,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sai Srinivasa Travels,22:15,07h 30m,05:45,2000.0,3.0,14,A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Orange Tours And Travels,23:15,06h 30m,05:45,800.0,3.0,32,Volvo Multi-Axle Sleeper A/C (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Siri Tours and Travels,01:00,05h 13m,06:13,610.0,3.0,41,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Sri NVR Travels,00:30,06h 15m,06:45,849.0,3.0,40,NON A/C Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
KTR Travels,23:30,07h 42m,07:12,899.0,3.0,30,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
Siri Tours and Travels,23:55,06h 49m,06:44,670.0,3.0,30,Non A/C Seater / Sleeper (2+1),https://www.redbus.in/bus-tickets/vijayawada-to-hyderabad
